,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind,kind_num,density_num
5506,10.1,0.65,2.22,5.1,0.11,135.0,65.0,very high,3.32,0.64,10.4,6,red,1.0,4.0
5507,7.775,0.36,1.14,3.2,0.075,137.0,39.0,high,3.56,0.52,12.7,6,red,1.0,3.0
5508,8.8,0.24,2.7,2.5,0.083,150.989,57.0,very high,3.39,0.54,9.2,5,red,1.0,4.0
5509,7.286,0.38,2.75,2.7,0.081,105.0,16.0,very high,2.98,0.54,9.4,5,red,1.0,4.0
5510,7.5,0.64,0.0,2.4,0.077,140.0,29.0,high,3.32,0.566,10.0,6,red,1.0,3.0
5511,8.2,0.39,1.9,1.5,0.058,112.0,29.0,high,3.26,0.74,9.8,5,red,1.0,3.0
5512,9.2,0.755,1.08,7.82,0.148,147.245,103.0,high,2.87,0.548,10.2,6,red,1.0,3.0
5513,9.6,0.6,2.5,2.3,0.079,128.0,71.0,very high,3.5,0.57,9.7,5,red,1.0,4.0
5514,9.6,0.6,2.5,2.3,0.079,124.0,71.0,very high,3.5,0.57,9.7,5,red,1.0,4.0
5515,7.801,0.31,3.06,2.2,0.079,132.0,28.0,very high,3.03,0.93,9.8,6,red,1.0,4.0
5516,7.621,0.46,2.5,2.7,0.122,102.0,17.0,very high,3.13,0.7,10.2,5,red,1.0,4.0
5517,7.667,0.37,2.05,2.3,0.088,102.0,16.0,very high,3.09,0.8,9.3,5,red,1.0,4.0
5518,7.484,0.54,1.2,3.4,0.076,114.0,112.0,very high,3.27,0.61,9.4,5,nan,,4.0
5519,8.2,0.56,1.15,3.4,0.078,112.0,104.0,very high,3.28,0.62,9.4,5,red,1.0,4.0
5520,10.0,0.58,1.1,1.9,0.08,115.0,32.0,very high,3.13,0.535,9.5,5,red,1.0,4.0
5521,7.9,0.51,1.5,2.9,0.077,143.0,45.0,very high,3.49,0.552,12.1,6,red,1.0,4.0
5522,6.8,0.69,0.0,5.6,0.124,117.0,58.0,very high,3.46,0.72,10.2,5,red,1.0,4.0
5523,6.8,0.69,0.0,5.6,0.124,123.0,58.0,very high,3.46,0.72,10.2,5,red,1.0,4.0
5524,8.8,0.6,1.45,2.2,0.098,109.0,15.0,very high,3.36,0.54,9.1,5,red,1.0,4.0
5525,8.8,0.6,1.45,2.2,0.098,97.0,15.0,very high,3.36,0.49,9.1,5,red,1.0,4.0
5526,8.7,0.54,1.56,2.5,0.097,125.0,31.0,nan,3.27,0.6,9.3,6,red,1.0,
5527,7.6,0.685,1.15,2.3,0.111,124.0,84.0,high,3.21,0.61,9.3,5,red,1.0,3.0
5528,7.657,0.54,1.56,2.5,0.097,129.0,31.0,very high,3.27,0.6,9.3,6,red,1.0,4.0
5529,10.4,0.28,2.7,2.7,0.105,107.0,19.0,very high,3.25,0.63,9.5,5,red,1.0,4.0
5530,7.6,0.404,0.84,3.0,0.087,143.0,43.0,high,3.32,0.57,10.5,6,red,1.0,3.0
5531,7.819,0.416,0.88,3.4,0.105,87.0,86.0,very high,3.43,0.64,11.3,4,red,1.0,4.0
5532,7.9,0.35,1.05,1.9,0.073,144.0,102.0,high,3.27,0.58,9.5,5,red,1.0,3.0
5533,8.7,0.35,0.0,1.4,0.065,122.0,33.0,high,3.27,0.55,9.7,5,red,1.0,3.0
5534,9.6,0.407,1.4,2.4,0.086,128.0,147.0,very high,3.24,0.53,9.4,5,nan,,4.0
5535,7.54,0.402,1.35,2.3,0.084,133.0,145.0,very high,3.24,0.53,9.4,5,red,1.0,4.0
5536,7.7,0.406,0.84,2.2,0.143,143.0,23.0,high,3.35,0.65,10.2,7,red,1.0,3.0
5537,7.754,0.341,2.1,1.9,0.067,143.0,57.0,very high,3.18,0.606,10.818,6,red,1.0,4.0
5538,9.9,0.54,2.25,2.3,0.071,124.0,40.0,very high,3.39,0.62,9.4,5,red,1.0,4.0
5539,9.5,0.59,2.2,2.3,0.071,119.0,68.0,very high,3.46,0.63,9.5,5,red,1.0,4.0
5540,7.435,0.54,2.25,2.3,0.071,114.0,40.0,very high,3.39,0.62,9.4,5,red,1.0,4.0
5541,9.5,0.59,2.2,2.3,0.071,121.0,68.0,very high,3.46,0.63,9.5,5,red,1.0,4.0
5542,9.9,0.54,2.25,2.3,0.071,112.0,40.0,very high,3.39,0.62,9.4,5,red,1.0,4.0
5543,7.8,0.64,0.7,6.0,0.115,139.0,11.0,very high,3.37,0.58,10.1,7,red,1.0,4.0
5544,7.3,0.67,0.25,3.6,0.107,108.0,20.0,very high,3.4,0.63,10.1,5,red,1.0,4.0
5545,8.3,0.35,0.04,2.2,0.07,81.0,14.0,high,3.32,0.58,11.0,4,red,1.0,3.0
5546,8.7,0.48,2.1,2.8,0.066,152.0,28.0,high,3.33,0.67,11.2,7,red,1.0,3.0
5547,6.7,0.42,1.62,8.6,0.068,140.0,148.0,medium,3.16,0.57,11.3,6,red,1.0,2.0
5548,7.497,0.43,1.95,2.2,0.106,108.0,32.0,very high,2.89,0.5,9.6,5,red,1.0,4.0
5549,9.8,0.34,1.25,2.5,0.104,135.0,155.0,very high,3.41,0.67,11.2,5,red,1.0,4.0
5550,7.365,0.36,3.25,7.5,0.096,122.0,71.0,very high,2.98,0.84,10.485,5,red,1.0,4.0
5551,9.4,0.33,3.54,2.8,0.079,127.0,30.0,very high,3.12,0.54,12.0,6,red,1.0,4.0
5552,8.6,0.47,2.35,2.4,0.074,103.0,29.0,very high,3.08,0.46,9.5,5,red,1.0,4.0
5553,9.7,0.55,0.85,2.9,0.087,120.0,53.0,very high,3.14,0.61,9.4,5,red,1.0,4.0
5554,10.7,0.43,1.95,2.2,0.106,104.0,32.0,very high,2.89,0.576,9.6,5,red,1.0,4.0
5555,7.598,0.5,4.13,1.4,0.073,159.0,42.0,very high,2.92,0.68,10.5,7,red,1.0,4.0
5556,7.2,0.52,0.42,1.4,0.074,121.0,20.0,very high,3.32,0.81,9.6,6,red,1.0,4.0
5557,7.1,0.352,0.08,4.4,0.096,79.0,13.0,very high,3.41,0.57,11.0,4,red,1.0,4.0
5558,7.2,0.52,0.42,1.4,0.074,121.0,20.0,very high,3.32,0.81,9.6,6,red,1.0,4.0
5559,7.5,0.42,1.55,6.422,0.08,117.0,42.0,very high,3.31,0.64,9.0,5,red,1.0,4.0
5560,7.2,0.57,0.36,1.6,0.076,135.0,27.0,very high,3.36,0.7,9.6,6,red,1.0,4.0
5561,10.1,0.412,2.76,1.8,0.05,121.0,13.0,very high,3.04,0.79,10.2,6,red,1.0,4.0
5562,7.668,0.4,2.6,2.0,0.092,115.0,54.0,very high,3.03,0.66,10.2,5,red,1.0,4.0
5563,7.718,0.59,0.7,2.0,0.084,123.0,48.0,very high,3.14,0.56,9.7,5,red,1.0,4.0
5564,8.3,0.49,2.16,1.8,0.058,130.0,16.0,very high,3.18,0.6,9.5,6,red,1.0,4.0
5565,7.638,0.34,2.7,2.0,0.082,126.0,15.0,very high,2.94,0.66,9.2,6,red,1.0,4.0
5566,10.0,0.73,2.15,2.3,0.059,115.0,31.0,high,3.15,0.57,11.0,5,red,1.0,3.0
5567,7.28,0.34,2.7,2.0,0.082,124.0,15.0,very high,2.94,0.539,9.2,6,red,1.0,4.0
5568,6.9,0.4,1.2,2.5,0.083,130.0,45.0,high,3.26,0.58,10.0,5,red,1.0,3.0
5569,8.2,0.73,1.05,1.7,0.074,109.0,13.0,high,3.2,0.52,9.5,5,red,1.0,3.0
5570,9.8,0.412,1.7,2.0,0.079,130.0,151.0,very high,3.15,0.53,9.5,5,red,1.0,4.0
5571,8.2,0.73,1.05,1.7,0.074,107.0,13.0,high,3.2,0.567,9.5,5,red,1.0,3.0
5572,7.748,0.4,2.46,2.2,0.084,131.0,17.0,very high,3.08,0.67,9.3,6,red,1.0,4.0
5573,9.3,0.41,1.95,2.2,0.064,110.0,31.0,very high,3.26,0.65,10.2,5,red,1.0,4.0
5574,10.8,0.388,2.46,2.2,0.084,127.0,17.0,very high,3.08,0.593,9.3,6,red,1.0,4.0
5575,8.6,0.8,0.55,2.3,0.084,110.0,31.0,very high,3.4,0.48,9.9,5,red,1.0,4.0
5576,8.3,0.78,0.5,2.6,0.081,145.0,87.0,very high,3.48,0.53,10.0,5,red,1.0,4.0
5577,10.8,0.26,2.25,3.3,0.06,116.0,49.0,very high,3.13,0.535,9.6,5,red,1.0,4.0
5578,7.753,0.43,2.9,1.9,0.07,115.0,40.0,very high,3.06,0.49,9.0,5,red,1.0,4.0
5579,8.0,0.45,1.38,2.2,0.094,134.0,29.0,high,3.21,0.49,10.2,6,red,1.0,3.0
5580,8.5,0.46,1.55,2.25,0.078,132.0,58.0,very high,3.33,0.54,9.8,5,red,1.0,4.0
5581,8.1,0.403,1.15,2.6,0.059,111.0,15.0,very high,3.37,0.56,11.3,5,red,1.0,4.0
5582,9.8,0.418,1.6,2.3,0.078,145.0,152.0,very high,3.25,0.48,9.4,5,red,1.0,4.0
5583,8.1,0.78,1.15,2.6,0.059,105.0,15.0,very high,3.37,0.56,11.3,5,red,1.0,4.0
5584,7.1,0.65,0.9,1.8,0.07,111.0,40.0,very high,3.44,0.6,9.1,5,red,1.0,4.0
5585,9.1,0.64,1.15,3.1,0.095,109.0,38.0,very high,3.28,0.59,9.7,5,red,1.0,4.0
5586,7.7,0.66,0.2,1.6,0.039,104.0,9.0,high,3.4,0.47,9.4,5,red,1.0,3.0
5587,8.1,0.38,2.4,1.8,0.157,107.0,17.0,very high,3.3,0.578,9.4,5,red,1.0,4.0
5588,7.4,0.35,0.0,4.25,0.097,148.764,14.0,high,3.63,0.54,10.7,3,red,1.0,3.0
5589,9.2,0.397,1.2,2.6,0.087,112.0,93.0,very high,3.48,0.54,9.8,5,red,1.0,4.0
5590,8.6,0.49,2.55,2.0,0.062,120.0,62.0,very high,3.03,0.564,10.933,5,red,1.0,4.0
5591,9.0,0.48,1.6,2.8,0.084,125.0,122.0,very high,3.32,0.56,9.4,5,red,1.0,4.0
5592,9.0,0.47,1.55,2.7,0.084,126.0,125.0,very high,3.31,0.61,9.4,5,red,1.0,4.0
5593,5.1,0.47,0.12,1.3,0.034,138.0,44.0,low,3.281,0.62,12.8,6,red,1.0,1.0
5594,7.0,0.65,0.12,2.1,0.066,130.0,25.0,very high,3.47,0.67,9.5,6,red,1.0,4.0
5595,7.487,0.65,0.12,2.1,0.066,128.0,25.0,very high,3.47,0.67,9.5,6,red,1.0,4.0
5596,9.4,0.615,1.4,3.2,0.087,120.0,72.0,very high,3.31,0.53,9.7,5,red,1.0,4.0
5597,7.268,0.38,3.3,2.1,0.071,123.0,19.0,very high,3.11,0.556,10.8,6,red,1.0,4.0
5598,10.6,0.347,2.58,2.9,0.076,148.0,88.0,very high,3.08,0.57,10.1,6,red,1.0,4.0
5599,7.0,0.65,0.12,2.1,0.066,128.0,25.0,very high,3.47,0.67,9.5,6,red,1.0,4.0
5600,7.705,0.64,0.12,2.1,0.067,127.0,23.0,very high,3.47,0.67,9.4,6,red,1.0,4.0
5601,7.5,0.38,1.92,2.6,0.073,98.0,84.0,very high,3.32,0.7,9.6,4,red,1.0,4.0
5602,9.1,0.765,0.16,1.6,0.078,80.0,14.0,very high,3.29,0.54,9.7,4,red,1.0,4.0
5603,8.4,0.379,0.75,6.0,0.073,115.0,54.0,very high,3.37,0.49,9.9,5,red,1.0,4.0
5604,7.0,0.78,0.4,2.0,0.093,108.0,19.0,high,3.4,0.58,10.0,5,red,1.0,3.0
5605,7.827,0.49,0.95,3.0,0.077,112.0,37.0,high,3.37,0.545,10.5,5,red,1.0,3.0
5606,7.8,0.545,0.72,2.5,0.068,131.0,35.0,high,3.34,0.61,11.6,6,red,1.0,3.0
5607,9.7,0.31,2.82,1.6,0.062,133.0,33.0,very high,3.27,0.66,10.0,6,red,1.0,4.0
5608,10.6,0.36,2.15,2.8,0.08,119.0,84.0,very high,3.06,0.57,10.1,5,nan,,4.0
5609,8.9,0.565,1.7,3.0,0.093,118.0,112.0,very high,3.38,0.61,9.5,5,red,1.0,4.0
5610,8.7,0.69,0.0,3.2,0.084,111.0,33.0,very high,3.36,0.45,9.4,5,red,1.0,4.0
5611,8.0,0.43,1.8,2.3,0.075,108.0,48.0,very high,3.34,0.46,9.4,5,red,1.0,4.0
5612,9.9,0.74,1.4,2.6,0.078,113.0,77.0,very high,3.28,0.564,9.8,5,red,1.0,4.0
5613,7.2,0.49,1.08,2.7,0.069,131.0,34.0,high,3.29,0.564,9.2,6,red,1.0,3.0
5614,8.0,0.419,1.8,2.3,0.075,108.0,48.0,very high,3.34,0.46,9.4,5,red,1.0,4.0
5615,7.6,0.414,0.55,2.6,0.079,118.0,49.0,high,3.21,0.57,10.0,5,red,1.0,3.0
5616,8.4,0.56,0.2,2.0,0.082,108.0,22.0,very high,3.22,0.44,9.6,5,red,1.0,4.0
5617,7.1,0.66,0.0,3.9,0.086,123.0,45.0,very high,3.46,0.54,9.5,5,red,1.0,4.0
5618,7.451,0.56,0.2,2.0,0.082,114.0,22.0,very high,3.22,0.44,9.6,5,red,1.0,4.0
5619,8.9,0.48,1.2,2.85,0.094,135.0,106.0,very high,3.1,0.53,9.2,5,red,1.0,4.0
5620,7.6,0.42,0.4,2.7,0.084,115.0,48.0,high,3.21,0.59,10.0,5,red,1.0,3.0
5621,7.1,0.31,1.5,2.2,0.053,134.0,127.0,high,2.94,0.567,9.5,5,red,1.0,3.0
5622,7.5,0.364,0.4,3.1,0.086,87.0,12.0,high,3.54,0.569,11.2,4,red,1.0,3.0
5623,9.0,0.66,0.85,3.0,0.077,103.0,13.0,very high,3.29,0.55,10.4,5,red,1.0,4.0
5624,8.1,0.72,0.54,2.8,0.084,136.0,49.0,very high,3.43,0.72,11.1,6,red,1.0,4.0
5625,6.4,0.57,0.1,1.8,0.067,102.0,11.0,very high,3.46,0.68,9.5,5,red,1.0,4.0
5626,6.4,0.57,0.1,1.8,0.067,102.0,11.0,very high,3.46,0.68,9.5,5,red,1.0,4.0
5627,6.4,0.358,0.18,3.2,0.071,145.0,58.0,high,3.61,0.49,12.7,6,red,1.0,3.0
5628,9.5,0.55,3.3,5.491,0.073,114.0,37.0,very high,3.17,0.67,9.6,5,red,1.0,4.0
5629,8.9,0.403,0.65,3.45,0.088,153.011,14.0,very high,3.44,0.52,11.5,5,nan,,4.0
5630,7.3,0.416,0.15,2.1,0.092,112.0,19.0,high,3.39,0.47,9.6,5,red,1.0,3.0
5631,7.723,0.45,1.7,2.7,0.082,114.0,72.0,very high,3.55,0.6,9.5,5,red,1.0,4.0
5632,7.7,0.56,1.0,2.0,0.075,111.0,39.0,very high,3.48,0.62,9.3,5,red,1.0,4.0
5633,7.7,0.418,0.5,2.1,0.112,107.0,22.0,high,3.26,0.5,9.5,5,red,1.0,3.0
5634,7.7,0.375,0.5,2.1,0.112,107.0,22.0,high,3.26,0.5,9.5,5,red,1.0,3.0
5635,8.2,0.415,0.0,2.5,0.093,139.0,58.0,very high,3.5,0.65,9.3,6,red,1.0,4.0
5636,9.0,0.46,1.15,2.8,0.092,128.0,104.0,very high,3.1,0.584,9.2,5,red,1.0,4.0
5637,9.0,0.69,0.0,2.4,0.088,117.0,38.0,very high,3.35,0.6,9.3,5,red,1.0,4.0
5638,8.3,0.76,1.74,4.2,0.075,132.0,16.0,high,3.45,0.68,11.5,6,red,1.0,3.0
5639,7.569,0.53,1.2,2.6,0.078,130.0,139.0,very high,3.21,0.57,9.5,5,red,1.0,4.0
5640,6.5,0.615,0.0,1.9,0.065,101.0,18.0,very high,3.46,0.65,9.2,5,red,1.0,4.0
5641,7.249,0.413,2.9,2.8,0.096,125.0,101.0,very high,3.13,0.53,10.0,5,red,1.0,4.0
5642,7.563,0.39,2.7,2.7,0.095,127.0,101.0,very high,3.13,0.51,9.5,5,red,1.0,4.0
5643,7.3,0.51,1.08,2.1,0.07,136.0,28.0,very high,3.52,0.73,9.5,6,red,1.0,4.0
5644,8.2,0.34,2.28,2.5,0.08,130.0,57.0,very high,3.3,0.47,9.0,6,red,1.0,4.0
5645,8.6,0.33,2.0,2.6,0.083,116.0,68.0,very high,3.3,0.48,9.4,5,nan,,4.0
5646,7.2,0.5,1.08,2.1,0.071,136.0,31.0,very high,3.52,0.72,9.6,6,red,1.0,4.0
5647,7.3,0.51,1.08,2.1,0.07,134.0,28.0,very high,3.52,0.73,9.5,6,red,1.0,4.0
5648,8.3,0.65,0.5,2.9,0.089,123.0,40.0,very high,3.29,0.55,9.5,5,red,1.0,4.0
5649,8.3,0.65,0.5,2.9,0.089,121.0,40.0,very high,3.29,0.55,9.5,5,red,1.0,4.0
5650,7.6,0.54,0.65,2.5,0.097,124.0,66.0,very high,3.39,0.61,9.4,5,red,1.0,4.0
5651,8.3,0.65,0.5,2.9,0.089,117.0,40.0,very high,3.29,0.55,9.5,5,red,1.0,4.0
5652,7.8,0.48,4.08,1.7,0.057,136.0,32.0,high,3.09,0.6,9.1,6,red,1.0,3.0
5653,7.8,0.405,0.42,1.9,0.058,138.0,47.0,high,3.51,0.43,10.7,6,red,1.0,3.0
5654,6.3,0.39,0.06,2.0,0.057,135.0,33.0,medium,3.6,0.552,11.2,6,red,1.0,2.0
5655,7.562,0.362,0.0,2.2,0.084,104.0,31.0,high,3.25,0.5,9.8,5,red,1.0,3.0
5656,8.1,0.362,0.0,2.2,0.084,114.0,31.0,high,3.25,0.5,9.8,5,red,1.0,3.0
5657,8.8,0.42,1.05,2.5,0.092,135.0,88.0,very high,3.19,0.52,9.2,5,red,1.0,4.0
5658,7.668,0.58,1.25,2.8,0.075,107.0,104.0,very high,3.23,0.57,9.7,5,red,1.0,4.0
5659,9.3,0.655,1.3,2.0,0.096,156.471,35.0,very high,3.25,0.42,9.6,5,red,1.0,4.0
5660,8.8,0.7,0.0,1.7,0.069,122.0,19.0,very high,3.31,0.53,10.527,6,red,1.0,4.0
5661,7.56,0.655,1.3,2.0,0.096,101.0,35.0,very high,3.25,0.42,9.6,5,red,1.0,4.0
5662,9.1,0.68,0.66,2.8,0.093,137.0,44.0,very high,3.31,0.55,9.5,6,red,1.0,4.0
5663,9.2,0.67,0.6,3.0,0.091,134.0,48.0,very high,3.31,0.54,9.5,6,red,1.0,4.0
5664,8.8,0.59,0.9,2.9,0.089,110.0,74.0,very high,3.14,0.54,9.4,5,nan,,4.0
5665,7.5,0.6,1.6,2.7,0.103,111.0,98.0,very high,3.45,0.62,9.5,5,nan,,4.0
5666,7.1,0.59,0.12,2.3,0.082,142.0,94.0,very high,3.55,0.53,9.7,6,red,1.0,4.0
5667,7.9,0.72,0.05,1.9,0.076,109.0,32.0,high,3.39,0.54,9.6,5,red,1.0,3.0
5668,7.1,0.59,0.12,2.3,0.082,146.0,94.0,very high,3.55,0.53,9.7,6,nan,,4.0
5669,9.4,0.685,1.3,2.4,0.082,115.0,143.0,very high,3.28,0.55,9.4,5,red,1.0,4.0
5670,7.553,0.57,1.35,2.3,0.082,121.0,144.0,very high,3.27,0.55,9.4,5,red,1.0,4.0
5671,7.9,0.4,1.74,1.8,0.157,119.0,44.0,very high,3.3,0.92,9.5,6,red,1.0,4.0
5672,7.9,0.376,1.8,1.8,0.157,124.0,45.0,very high,3.31,0.91,9.5,6,red,1.0,4.0
5673,7.2,0.388,0.0,3.0,0.102,109.0,16.0,high,3.43,0.559,10.0,5,red,1.0,3.0
5674,6.9,0.765,1.08,2.4,0.073,119.5,48.0,high,3.4,0.6,10.3,6,red,1.0,3.0
5675,7.535,0.635,1.02,2.4,0.071,150.982,18.0,high,3.4,0.59,10.3,6,red,1.0,3.0
5676,8.3,0.43,1.5,3.4,0.079,107.0,34.0,very high,3.36,0.61,10.5,5,red,1.0,4.0
5677,7.1,0.52,0.15,2.6,0.076,121.0,92.0,very high,3.5,0.6,9.8,5,red,1.0,4.0
5678,7.0,0.57,0.0,2.0,0.064,128.0,45.0,high,3.31,0.6,9.4,6,red,1.0,3.0
5679,6.5,0.46,0.7,2.4,0.114,113.0,37.0,very high,3.66,0.65,9.8,5,red,1.0,4.0
5680,9.0,0.82,0.25,2.4,0.081,124.0,96.0,very high,3.36,0.53,10.0,5,red,1.0,4.0
5681,6.5,0.46,0.7,2.4,0.114,113.0,37.0,very high,3.66,0.65,9.8,5,red,1.0,4.0
5682,7.1,0.387,0.05,2.5,0.077,120.0,85.0,very high,3.55,0.59,9.8,5,red,1.0,4.0
5683,9.9,0.35,2.05,2.3,0.083,113.0,61.0,very high,3.21,0.5,9.5,5,red,1.0,4.0
5684,9.9,0.35,2.05,2.3,0.083,113.0,61.0,very high,3.21,0.5,9.5,5,red,1.0,4.0
5685,10.0,0.56,1.44,2.2,0.079,139.0,58.0,very high,3.18,0.56,10.1,6,red,1.0,4.0
5686,10.0,0.56,1.44,2.2,0.079,135.0,58.0,very high,3.18,0.56,10.1,6,red,1.0,4.0
5687,8.6,0.63,0.85,2.9,0.099,149.244,119.0,very high,3.09,0.52,9.3,5,red,1.0,4.0
5688,7.4,0.37,2.58,2.6,0.082,140.0,82.0,very high,3.33,0.68,9.7,6,red,1.0,4.0
5689,8.8,0.64,0.85,2.9,0.084,125.0,130.0,very high,3.23,0.54,9.6,5,red,1.0,4.0
5690,7.1,0.396,0.12,2.5,0.081,135.0,87.0,very high,3.48,0.6,9.7,6,red,1.0,4.0
5691,7.7,0.6,0.0,2.6,0.055,107.0,13.0,high,3.38,0.56,10.8,5,red,1.0,3.0
5692,7.485,0.27,3.24,2.3,0.065,125.0,26.0,high,3.17,0.53,12.5,6,red,1.0,3.0
5693,10.8,0.421,1.5,2.6,0.132,105.0,60.0,very high,2.99,0.57,10.2,5,red,1.0,4.0
5694,7.258,0.46,1.55,2.5,0.126,126.0,64.0,very high,3.1,0.74,9.6,5,red,1.0,4.0
5695,7.685,0.37,3.08,1.6,0.038,161.0,42.0,high,3.24,0.81,10.8,7,red,1.0,3.0
5696,9.4,0.5,2.04,3.6,0.082,125.0,14.0,very high,3.29,0.588,10.7,6,red,1.0,4.0
5697,9.4,0.5,2.04,3.6,0.082,123.0,14.0,very high,3.29,0.579,10.7,6,red,1.0,4.0
5698,7.2,0.61,0.4,4.0,0.082,124.0,108.0,high,3.25,0.51,9.4,5,red,1.0,3.0
5699,8.6,0.55,0.45,3.3,0.068,108.0,17.0,very high,3.23,0.44,10.0,5,red,1.0,4.0
5700,5.1,0.585,0.0,1.7,0.044,154.0,86.0,medium,3.56,0.586,12.9,7,nan,,2.0
5701,7.7,0.56,0.48,2.5,0.114,138.0,46.0,very high,3.24,0.66,9.6,6,red,1.0,4.0
5702,7.521,0.52,1.32,2.7,0.084,128.0,18.0,high,3.26,0.57,9.9,6,red,1.0,3.0
5703,8.2,0.28,2.8,2.4,0.052,144.0,10.0,medium,3.33,0.7,12.8,7,red,1.0,2.0
5704,8.4,0.25,2.73,2.0,0.041,146.0,10.0,medium,3.27,0.71,12.5,7,red,1.0,2.0
5705,8.2,0.28,2.8,2.4,0.052,140.0,10.0,medium,3.33,0.7,12.8,7,red,1.0,2.0
5706,7.4,0.397,0.6,1.9,0.065,104.0,12.0,very high,3.26,0.86,9.2,5,red,1.0,4.0
5707,7.64,0.48,1.86,2.8,0.07,124.0,15.0,high,3.22,0.55,10.3,6,red,1.0,3.0
5708,7.3,0.49,0.5,2.6,0.068,104.0,14.0,high,3.3,0.47,10.5,5,red,1.0,3.0
5709,7.821,0.5,3.3,2.8,0.072,123.0,24.0,very high,3.09,0.68,10.9,6,red,1.0,4.0
5710,10.8,0.45,1.65,2.5,0.099,120.0,38.0,very high,3.24,0.71,10.8,5,nan,,4.0
5711,6.9,0.356,0.96,2.1,0.102,84.0,7.0,medium,3.44,0.58,11.4,4,red,1.0,2.0
5712,7.383,0.41,3.24,2.8,0.103,135.0,41.0,very high,3.21,0.76,11.3,6,red,1.0,4.0
5713,10.8,0.45,1.65,2.5,0.099,122.0,38.0,very high,3.24,0.71,10.8,5,red,1.0,4.0
5714,9.8,0.51,1.14,3.2,0.081,128.0,30.0,very high,3.23,0.58,10.5,6,red,1.0,4.0
5715,10.8,0.29,2.52,1.6,0.084,143.0,27.0,high,3.28,0.73,11.9,6,red,1.0,3.0
5716,7.1,0.715,0.0,2.35,0.071,117.0,47.0,high,3.29,0.45,9.4,5,red,1.0,3.0
5717,9.1,0.66,0.75,3.2,0.097,107.0,59.0,very high,3.28,0.54,9.6,5,red,1.0,4.0
5718,7.0,0.685,0.0,1.9,0.099,111.0,22.0,high,3.34,0.6,9.7,5,red,1.0,3.0
5719,7.76,0.42,0.0,2.1,0.048,154.0,42.0,low,3.294,0.74,14.0,7,red,1.0,1.0
5720,6.7,0.54,0.65,2.0,0.076,111.0,36.0,very high,3.61,0.64,9.8,5,red,1.0,4.0
5721,6.7,0.408,0.65,2.0,0.076,115.0,36.0,very high,3.61,0.64,9.8,5,red,1.0,4.0
5722,7.642,0.48,1.4,2.8,0.068,108.0,16.0,high,3.24,0.568,10.3,5,red,1.0,3.0
5723,7.1,0.46,0.7,2.8,0.076,156.977,37.0,high,3.36,0.49,10.7,5,red,1.0,3.0
5724,7.5,0.27,2.38,2.3,0.05,140.0,8.0,high,3.4,0.64,11.0,7,red,1.0,3.0
5725,7.1,0.364,0.7,2.8,0.076,113.0,37.0,high,3.36,0.49,10.7,5,red,1.0,3.0
5726,7.8,0.57,0.72,2.3,0.065,192.0,45.0,medium,3.46,0.603,12.7,8,red,1.0,2.0
5727,7.725,0.61,0.48,2.1,0.071,136.0,24.0,medium,3.56,0.77,11.1,6,red,1.0,2.0
5728,7.5,0.685,0.28,2.5,0.058,91.0,9.0,high,3.38,0.55,10.792,4,red,1.0,3.0
5729,5.9,0.61,0.48,2.1,0.071,140.0,24.0,medium,3.56,0.77,11.1,6,red,1.0,2.0
5730,10.4,0.343,1.26,6.726,0.145,98.0,48.0,very high,3.38,0.86,9.9,3,red,1.0,4.0
5731,7.413,0.47,1.76,1.6,0.147,112.0,51.0,very high,3.38,0.86,9.9,4,red,1.0,4.0
5732,8.8,0.685,1.3,1.6,0.088,116.0,23.0,high,3.32,0.47,9.4,5,red,1.0,3.0
5733,7.6,0.665,0.5,6.527,0.066,121.0,55.0,high,3.39,0.51,9.3,5,red,1.0,3.0
5734,6.7,0.28,1.96,2.4,0.012,178.0,100.0,low,3.26,0.39,11.7,7,red,1.0,1.0
5735,6.7,0.28,1.96,2.4,0.012,178.0,100.0,low,3.26,0.39,11.7,7,red,1.0,1.0
5736,10.1,0.31,2.45,1.6,0.075,149.0,28.0,high,3.24,0.83,11.2,7,red,1.0,3.0
5737,6.0,0.5,0.2,2.2,0.092,115.0,26.0,high,3.46,0.47,10.0,5,red,1.0,3.0
5738,7.708,0.42,3.29,2.65,0.085,147.0,34.0,very high,3.24,0.77,12.1,7,red,1.0,4.0
5739,7.643,0.66,2.02,3.0,0.115,119.0,31.0,high,3.45,0.63,10.3,5,red,1.0,3.0
5740,10.6,0.5,2.7,2.6,0.119,154.0,68.0,very high,3.23,0.72,10.9,6,red,1.0,4.0
5741,7.1,0.685,1.75,2.0,0.088,107.0,92.0,high,3.28,0.62,9.4,5,red,1.0,3.0
5742,9.9,0.25,2.76,1.7,0.062,142.0,42.0,high,3.18,0.83,10.6,6,red,1.0,3.0
5743,6.4,0.64,1.05,1.8,0.081,114.0,31.0,nan,3.59,0.66,9.8,5,red,1.0,
5744,7.84,0.64,1.05,1.8,0.081,112.0,31.0,high,3.59,0.66,9.8,5,red,1.0,3.0
5745,7.4,0.68,0.96,1.8,0.078,132.0,39.0,very high,3.5,0.7,9.9,6,red,1.0,4.0
5746,6.4,0.64,1.05,1.8,0.081,112.0,31.0,high,3.59,0.66,9.8,5,red,1.0,3.0
